GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-manager,com.library.model,Book,0,123,0,4,0,33,0,15,0,13
library-manager,com.library.model,User,0,115,0,10,0,29,0,16,0,11
library-manager,com.library.model,Bookstore,0,131,0,6,0,31,0,17,0,14
library-manager,com.library.model,UserRole,0,15,0,0,0,3,0,1,0,1
library-manager,com.library.model,Loan,2,144,1,13,0,32,1,17,0,11
library-manager,com.library.model,LoanStatus,0,15,0,0,0,3,0,1,0,1
library-manager,com.library.app,LibraryApp,966,0,75,0,307,0,74,0,26,0
library-manager,com.library.service,BookstoreService,0,136,0,14,0,34,0,14,0,7
library-manager,com.library.service,LoanService,0,109,0,10,0,24,0,13,0,8
library-manager,com.library.service,BookService,0,81,0,8,0,19,0,10,0,6
library-manager,com.library.service,UserService,0,132,1,15,0,27,1,15,0,8
